ID,DataType,Sector,Exposure_Time,FFI_Avail,SPOC_Avail,source_id,radius,radius+,radius-
769456276704128,FFI,4.0,1425.599419,True,True,769456276704128,0.1242384227038702,0.0040595977801545,0.0032482544731365
769456276704128,FFI,31.0,475.19979,True,True,769456276704128,0.1242384227038702,0.0040595977801545,0.0032482544731365
769456276704128,SPOC,4.0,120.0,True,True,769456276704128,0.1242384227038702,0.0040595977801545,0.0032482544731365
769456276704128,SPOC,31.0,120.0,True,True,769456276704128,0.1242384227038702,0.0040595977801545,0.0032482544731365
16302463200535040,FFI,31.0,475.19979,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,FFI,42.0,475.199778,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,FFI,43.0,475.19979,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,FFI,44.0,475.19979,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,FFI,70.0,158.399927,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,FFI,71.0,158.39993,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,SPOC,31.0,20.0,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,SPOC,31.0,120.0,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,SPOC,42.0,120.0,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,SPOC,43.0,120.0,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
16302463200535040,SPOC,44.0,120.0,True,True,16302463200535040,0.4006288867435238,0.0615964317668106,0.0333234094313628
18986817760556416,FFI,4.0,1425.599419,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,FFI,31.0,475.19979,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,FFI,42.0,475.199778,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,FFI,43.0,475.19979,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,FFI,70.0,158.399927,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,FFI,71.0,158.39993,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,SPOC,4.0,120.0,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,SPOC,31.0,120.0,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,SPOC,42.0,120.0,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,SPOC,70.0,120.0,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
18986817760556416,SPOC,71.0,120.0,True,True,18986817760556416,0.2439431757135761,0.0133815443102127,0.0076523075491281
35398295820372864,FFI,42.0,475.199778,True,False,35398295820372864,0.3981204150937082,0.0512589436982611,0.0271967182075635
35398295820372864,FFI,43.0,475.19979,True,False,35398295820372864,0.3981204150937082,0.0512589436982611,0.0271967182075635
35398295820372864,FFI,44.0,475.19979,True,False,35398295820372864,0.3981204150937082,0.0512589436982611,0.0271967182075635
35398295820372864,FFI,70.0,158.399927,True,False,35398295820372864,0.3981204150937082,0.0512589436982611,0.0271967182075635
35398295820372864,FFI,71.0,158.39993,True,False,35398295820372864,0.3981204150937082,0.0512589436982611,0.0271967182075635
57739208163471744,FFI,42.0,475.199778,True,True,57739208163471744,0.210073688598075,0.0115557134011446,0.0093139554239934
57739208163471744,FFI,43.0,475.19979,True,True,57739208163471744,0.210073688598075,0.0115557134011446,0.0093139554239934
57739208163471744,FFI,70.0,158.399927,True,True,57739208163471744,0.210073688598075,0.0115557134011446,0.0093139554239934
57739208163471744,FFI,71.0,158.39993,True,True,57739208163471744,0.210073688598075,0.0115557134011446,0.0093139554239934
57739208163471744,SPOC,70.0,120.0,True,True,57739208163471744,0.210073688598075,0.0115557134011446,0.0093139554239934
57739208163471744,SPOC,71.0,120.0,True,True,57739208163471744,0.210073688598075,0.0115557134011446,0.0093139554239934
68553931516671488,FFI,42.0,475.199778,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
68553931516671488,FFI,43.0,475.19979,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
68553931516671488,FFI,44.0,475.19979,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
68553931516671488,FFI,70.0,158.399927,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
68553931516671488,FFI,71.0,158.39993,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
68553931516671488,SPOC,42.0,120.0,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
68553931516671488,SPOC,43.0,120.0,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
68553931516671488,SPOC,44.0,120.0,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
68553931516671488,SPOC,70.0,120.0,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
68553931516671488,SPOC,71.0,120.0,True,True,68553931516671488,0.3023613491557023,0.0358225054880539,0.0190057517234371
72117556076986368,FFI,42.0,475.199778,True,True,72117556076986368,0.1868507061607292,0.014138149534651,0.013362886025143
72117556076986368,FFI,43.0,475.19979,True,True,72117556076986368,0.1868507061607292,0.014138149534651,0.013362886025143
72117556076986368,FFI,70.0,158.399927,True,True,72117556076986368,0.1868507061607292,0.014138149534651,0.013362886025143
72117556076986368,FFI,71.0,158.39993,True,True,72117556076986368,0.1868507061607292,0.014138149534651,0.013362886025143
72117556076986368,SPOC,42.0,120.0,True,True,72117556076986368,0.1868507061607292,0.014138149534651,0.013362886025143
72117556076986368,SPOC,43.0,120.0,True,True,72117556076986368,0.1868507061607292,0.014138149534651,0.013362886025143
72117556076986368,SPOC,70.0,120.0,True,True,72117556076986368,0.1868507061607292,0.014138149534651,0.013362886025143
72117556076986368,SPOC,71.0,120.0,True,True,72117556076986368,0.1868507061607292,0.014138149534651,0.013362886025143
72354810070468224,FFI,42.0,475.199778,True,True,72354810070468224,0.1365774235816553,0.0056177067955032,0.0039779678260246
72354810070468224,FFI,43.0,475.19979,True,True,72354810070468224,0.1365774235816553,0.0056177067955032,0.0039779678260246
72354810070468224,FFI,70.0,158.399927,True,True,72354810070468224,0.1365774235816553,0.0056177067955032,0.0039779678260246
72354810070468224,FFI,71.0,158.39993,True,True,72354810070468224,0.1365774235816553,0.0056177067955032,0.0039779678260246
