ID,DataType,Sector,Exposure_Time,FFI_Avail,SPOC_Avail,source_id,phot_g_mean_mag,phot_rp_mean_mag,parallax,radius,radius+,radius-,distance_pc,color
769456276704128,FFI,4.0,1425.599419,True,True,769456276704128,14.599249839782717,13.258914947509766,53.08436773870445,0.1242384227038702,0.0040595977801545,0.0032482544731365,18.837937468187796,1.340334892272951
769456276704128,FFI,31.0,475.19979,True,True,769456276704128,14.599249839782717,13.258914947509766,53.08436773870445,0.1242384227038702,0.0040595977801545,0.0032482544731365,18.837937468187796,1.340334892272951
769456276704128,SPOC,4.0,120.0,True,True,769456276704128,14.599249839782717,13.258914947509766,53.08436773870445,0.1242384227038702,0.0040595977801545,0.0032482544731365,18.837937468187796,1.340334892272951
769456276704128,SPOC,31.0,120.0,True,True,769456276704128,14.599249839782717,13.258914947509766,53.08436773870445,0.1242384227038702,0.0040595977801545,0.0032482544731365,18.837937468187796,1.340334892272951
16302463200535040,FFI,31.0,475.19979,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,FFI,42.0,475.199778,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,FFI,43.0,475.19979,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,FFI,44.0,475.19979,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,FFI,70.0,158.399927,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,FFI,71.0,158.39993,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,SPOC,31.0,20.0,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,SPOC,31.0,120.0,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,SPOC,42.0,120.0,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,SPOC,43.0,120.0,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
16302463200535040,SPOC,44.0,120.0,True,True,16302463200535040,11.097949981689451,9.947432518005373,58.46895604154765,0.4006288867435238,0.0615964317668106,0.0333234094313628,17.103093123287625,1.1505174636840785
18986817760556416,FFI,4.0,1425.599419,True,True,18986817760556416,12.859631538391112,11.62480926513672,50.051067130892186,0.2439431757135761,0.0133815443102127,0.0076523075491281,19.979593989171644,1.234822273254391
18986817760556416,FFI,31.0,475.19979,True,True,18986817760556416,12.859631538391112,11.62480926513672,50.051067130892186,0.2439431757135761,0.0133815443102127,0.0076523075491281,19.979593989171644,1.234822273254391
